"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "JavaScript", "TypeScript JSX", "Dotenv", "comment", "blank", "total"
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\App.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 1, 10, 48
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 13, 27
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app.json", "JSON with Comments", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\(tabs)\explore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 4, 113
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 5, 99
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\MyNav.js", "JavaScript", 0, 0, 0, 0, 107, 0, 0, 12, 16, 135
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\backend.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 3, 9, 39
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\config\api.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 6, 19
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\config\db.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\config\init-db.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\context\AuthContext.js", "JavaScript", 0, 0, 0, 0, 81, 0, 0, 0, 29, 110
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\controllers\auth.controller.js", "JavaScript", 0, 0, 0, 0, 108, 0, 0, 0, 23, 131
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\app\controllers\profile.controller.js", "JavaScript", 0, 0, 0, 0, 53, 0, 0, 0, 9, 62
