"filename", "language", "Dotenv", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\bymaz\kinetic\.env", "Dotenv", 2, 0, 0, 0, 0, 0, 0, 2, 1, 5
"c:\Users\bymaz\kinetic\App.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 1, 8, 45
"c:\Users\bymaz\kinetic\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 13, 27
"c:\Users\bymaz\kinetic\app.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"c:\Users\bymaz\kinetic\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 1, 43
"c:\Users\bymaz\kinetic\app\(tabs)\explore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 4, 113
"c:\Users\bymaz\kinetic\app\(tabs)\history.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\bymaz\kinetic\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 208, 3, 13, 224
"c:\Users\bymaz\kinetic\app\MyNav.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 5, 19, 205
"c:\Users\bymaz\kinetic\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"c:\Users\bymaz\kinetic\app\backend.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 3, 9, 43
"c:\Users\bymaz\kinetic\app\config\api.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\bymaz\kinetic\app\context\AuthContext.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 13, 22, 149
"c:\Users\bymaz\kinetic\app\controllers\auth.controller.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 8, 24, 139
"c:\Users\bymaz\kinetic\app\controllers\profile.controller.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 9, 62
"c:\Users\bymaz\kinetic\app\controllers\progress.controller.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 11, 65
"c:\Users\bymaz\kinetic\app\i18n.js", "JavaScript", 0, 254, 0, 0, 0, 0, 0, 8, 7, 269
"c:\Users\bymaz\kinetic\app\middleware\auth.middleware.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\bymaz\kinetic\app\modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 4, 30
"c:\Users\bymaz\kinetic\app\routes\auth.routes.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\bymaz\kinetic\app\routes\gym.routes.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 2, 8, 47
"c:\Users\bymaz\kinetic\app\routes\profile.routes.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\bymaz\kinetic\app\routes\progress.routes.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\bymaz\kinetic\app\screen\ScreenHome.js", "JavaScript", 0, 258, 0, 0, 0, 0, 0, 0, 40, 298
"c:\Users\bymaz\kinetic\app\subapaseClient.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\bymaz\kinetic\app\tabs\about\ScreenAbout.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\bymaz\kinetic\app\tabs\account\ScreenEditProfile.js", "JavaScript", 0, 220, 0, 0, 0, 0, 0, 7, 30, 257
"c:\Users\bymaz\kinetic\app\tabs\account\ScreenLogin.js", "JavaScript", 0, 166, 0, 0, 0, 0, 0, 4, 32, 202
"c:\Users\bymaz\kinetic\app\tabs\account\ScreenSignUp.js", "JavaScript", 0, 183, 0, 0, 0, 0, 0, 3, 35, 221
"c:\Users\bymaz\kinetic\app\tabs\calculator\ScreenCalculator.js", "JavaScript", 0, 257, 0, 0, 0, 0, 0, 5, 21, 283
"c:\Users\bymaz\kinetic\app\tabs\gym\ScreenGym.js", "JavaScript", 0, 258, 0, 0, 0, 0, 0, 3, 30, 291
"c:\Users\bymaz\kinetic\app\tabs\history\ScreenHistory.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 6, 24, 211
"c:\Users\bymaz\kinetic\app\tabs\home\ScreenHistory.js", "JavaScript", 0, 604, 0, 0, 0, 0, 0, 10, 76, 690
"c:\Users\bymaz\kinetic\app\tabs\home\ScreenHome.js", "JavaScript", 0, 300, 0, 0, 0, 0, 0, 3, 41, 344
"c:\Users\bymaz\kinetic\app\tabs\home\perfilhome.js", "JavaScript", 0, 238, 0, 0, 0, 0, 0, 4, 32, 274
"c:\Users\bymaz\kinetic\app\tabs\library\DetailLibrary.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 2, 19, 128
"c:\Users\bymaz\kinetic\app\tabs\library\ScreenLibrary.js", "JavaScript", 0, 261, 0, 0, 0, 0, 0, 11, 31, 303
"c:\Users\bymaz\kinetic\app\tabs\routine\ScreenRoutine.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 19, 105
"c:\Users\bymaz\kinetic\assets\data\traducciones.json", "JSON", 0, 0, 0, 0, 913, 0, 0, 0, 0, 913
"c:\Users\bymaz\kinetic\constants\theme.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 8, 5, 54
"c:\Users\bymaz\kinetic\eas.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\bymaz\kinetic\eslint.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\bymaz\kinetic\hooks\use-color-scheme.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\bymaz\kinetic\hooks\use-color-scheme.web.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 3, 6, 22
"c:\Users\bymaz\kinetic\hooks\use-theme-color.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 4, 22
"c:\Users\bymaz\kinetic\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3, 3, 9
"c:\Users\bymaz\kinetic\metro.config.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 2, 3, 8
"c:\Users\bymaz\kinetic\package-lock.json", "JSON", 0, 0, 0, 0, 15488, 0, 0, 0, 1, 15489
"c:\Users\bymaz\kinetic\package.json", "JSON", 0, 0, 0, 0, 85, 0, 0, 0, 1, 86
"c:\Users\bymaz\kinetic\scripts\reset-project.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 10, 14, 113
"c:\Users\bymaz\kinetic\server.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\bymaz\kinetic\tsconfig.json", "JSON with Comments", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 2, 4198, 63, 69, 16486, 14, 409, 135, 664, 22040
